t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_slug,scenario_n,scenario_p
24,pre_drift,cp,0.01,0.9765,0.013357325297809626,0.0235,0.004891735250719119,0.018249060548528945,4.61993062997707e-06,1.6419509784366677e-05,0.013357325297809626,3.679340184228094e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
25,post_drift,cp,0.010227272727272727,0.9584,0.013473321968031124,0.0255,0.005025963491176352,0.01849928545920779,4.819878769554529e-06,1.684666513229548e-05,0.013473321968031124,3.706942792537529e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
26,post_drift,cp,0.010454545454545454,0.9583,0.013641653558236808,0.0268,0.005219707784197004,0.018861361342433988,5.03412244911573e-06,1.720880696221011e-05,0.013641653558236808,3.682831895673302e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
27,post_drift,cp,0.010681818181818181,0.9581,0.013779124337853653,0.0304,0.00538090391883125,0.019160028256685238,5.1127224694749765e-06,1.7315759459949687e-05,0.013779124337853653,3.665335918051621e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
28,post_drift,cp,0.01090909090909091,0.9694,0.013885019187889773,0.0315,0.005509211667352637,0.019394230855242837,5.280893329059804e-06,1.7668415660514886e-05,0.013885019187889773,3.6840250338492076e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
29,post_drift,cp,0.011136363636363637,0.9679,0.014017452586111766,0.0407,0.005671618001815826,0.019689070587927942,5.500606248694073e-06,1.8119577009920076e-05,0.014017452586111766,3.70314781007649e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
30,post_drift,cp,0.011363636363636364,0.9665,0.01413302727561245,0.0415,0.005807294247584311,0.019940321523197264,5.513199159612894e-06,1.792984578652076e-05,0.01413302727561245,3.605376246413613e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
31,post_drift,cp,0.011590909090909091,0.976,0.01428294979425863,0.0504,0.005997463417771754,0.020280413212030807,5.748027108824971e-06,1.842763028387783e-05,0.01428294979425863,3.6399830468639605e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
32,post_drift,cp,0.011818181818181818,0.957,0.014426003993243217,0.0604,0.006188782733010426,0.020614786726254126,6.077818116151887e-06,1.9302375965562515e-05,0.014426003993243217,3.771313843080554e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
33,post_drift,cp,0.012045454545454545,0.9561,0.014527265850292351,0.0649,0.006314397602494804,0.020841663452787648,6.13601481826277e-06,1.9250267338465554e-05,0.014527265850292351,3.6994217032259886e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
