t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_slug,scenario_n,scenario_p
25,post_drift,cp,0.010227272727272727,0.9796,0.052865391784248594,0.0204,0.0012066632453786982,0.054072055029634865,5.4188168568243755e-06,0.00027225280814429514,0.052865391784248594,0.0002127367391086348,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
26,post_drift,cp,0.010454545454545454,0.9774,0.05299266256611751,0.0226,0.0012556243046762882,0.05424828687080134,5.877763039582244e-06,0.000282245239665504,0.05299266256611751,0.0002190548167350869,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
27,post_drift,cp,0.010681818181818181,0.9745,0.05326012328612892,0.0255,0.0013086470474589077,0.05456877033359517,6.135672707515645e-06,0.0002897049346340277,0.05326012328612892,0.00022389375936373614,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
28,post_drift,cp,0.01090909090909091,0.9773,0.05340859856282184,0.0227,0.0013004738847061902,0.05470907244753553,6.030157231247539e-06,0.00028433514354004805,0.05340859856282184,0.00021993060265320958,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
29,post_drift,cp,0.011136363636363637,0.9946,0.053940237021732625,0.0266,0.0013919893065916474,0.05533222632833148,6.499832313948289e-06,0.00029522042519796983,0.053940237021732625,0.0002266877336418822,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
30,post_drift,cp,0.011363636363636364,0.9949,0.054223632550457285,0.0261,0.0014309970469972282,0.05565462959746142,6.5752180762469195e-06,0.00029798664639706096,0.054223632550457285,0.00022850176871596272,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
31,post_drift,cp,0.011590909090909091,0.9937,0.05476498205517316,0.0295,0.0015023240638637318,0.05626730611904335,7.103349407884688e-06,0.00030273380593439985,0.05476498205517316,0.00022998626238517842,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
32,post_drift,cp,0.011818181818181818,0.9941,0.05486224918712561,0.0315,0.0015169321921384954,0.05637918137927061,7.251503294259157e-06,0.0003039510477473033,0.05486224918712561,0.00023024750410965706,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
33,post_drift,cp,0.012045454545454545,0.9936,0.05537452872026495,0.0317,0.0015815126545514592,0.05695604137482231,7.5284103289530925e-06,0.0003067905253905175,0.05537452872026495,0.0002314167312899855,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
34,post_drift,cp,0.012272727272727274,0.9932,0.05566216322660946,0.0345,0.001616364429686836,0.0572785276563023,7.667378818560896e-06,0.0003073341174672003,0.05566216322660946,0.0002308225422606408,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
