n,p_true,np_target,rho,method,coverage,avg_length,reject_star_rate,conf_level,n_sim
50,0.006999999999999999,0.35,0.15,cp,0.9592,0.07870863960542925,0.0408,0.95,5000
50,0.006999999999999999,0.35,0.15,normal,0.0644,0.011083544099689386,0.9356,0.95,5000
50,0.006999999999999999,0.35,0.2,jeffreys,0.955,0.055134431499589256,0.045,0.95,5000
50,0.006999999999999999,0.35,0.2,cp,0.9668,0.07724697046705369,0.0332,0.95,5000
50,0.006999999999999999,0.35,0.2,normal,0.0462,0.00884551556438833,0.9538,0.95,5000
50,0.008,0.4,0.0,jeffreys,0.9416,0.06287701056105695,0.0584,0.95,5000
50,0.008,0.4,0.0,cp,0.9932,0.08399239725916961,0.0068,0.95,5000
50,0.008,0.4,0.0,normal,0.3212,0.021181281927158024,0.6788,0.95,5000
50,0.008,0.4,0.01,jeffreys,0.9176,0.06230426007600157,0.0824,0.95,5000
50,0.008,0.4,0.01,cp,0.976,0.08359948520537626,0.024,0.95,5000
50,0.008,0.4,0.01,normal,0.2732,0.020179400781634084,0.7268,0.95,5000
50,0.008,0.4,0.02,jeffreys,0.9086,0.06197007044598871,0.0914,0.95,5000
50,0.008,0.4,0.02,cp,0.9662,0.08336536706065646,0.0338,0.95,5000
50,0.008,0.4,0.02,normal,0.2452,0.019589076534307963,0.7548,0.95,5000
50,0.008,0.4,0.05,jeffreys,0.9038,0.06096755216389338,0.0962,0.95,5000
50,0.008,0.4,0.05,cp,0.9434,0.08261676976341648,0.0566,0.95,5000
50,0.008,0.4,0.05,normal,0.1678,0.01780021929579874,0.8322,0.95,5000
