n,p,conf_level,coverage_jeff,coverage_exact,coverage_approx,coverage_ecb,coverage_approx_unil,coverage_exact_unil
100,0.00894648829431438,0.95,0.986,0.986,0.5945,1.0,0.5947,1.0
100,0.009277591973244147,0.95,0.9865,0.9865,0.5999,1.0,0.6002,1.0
100,0.009608695652173913,0.95,0.9861,0.9861,0.6213,1.0,0.6214,1.0
100,0.009939799331103678,0.95,0.9821,0.9821,0.6307,1.0,0.631,1.0
100,0.010270903010033444,0.95,0.9807,0.9807,0.634,1.0,0.6344,1.0
100,0.01060200668896321,0.95,0.9792,0.9792,0.6556,1.0,0.6565,1.0
100,0.010933110367892976,0.95,0.9773,0.9773,0.6713,1.0,0.6724,1.0
100,0.011264214046822742,0.95,0.9771,0.9958,0.6789,1.0,0.6799,1.0
100,0.011595317725752508,0.95,0.972,0.9946,0.6917,1.0,0.6927,1.0
100,0.011926421404682273,0.95,0.9687,0.9936,0.6991,1.0,0.7004,1.0
100,0.01225752508361204,0.95,0.9627,0.9927,0.7101,1.0,0.7113,1.0
100,0.012588628762541805,0.95,0.9625,0.991,0.7163,1.0,0.7175,1.0
100,0.01291973244147157,0.95,0.9603,0.9904,0.724,1.0,0.7259,1.0
100,0.013250836120401337,0.95,0.9548,0.9878,0.7357,1.0,0.7378,1.0
100,0.013581939799331103,0.95,0.9536,0.9886,0.7439,1.0,0.7443,1.0
100,0.013913043478260868,0.95,0.9857,0.9857,0.7511,1.0,0.7517,1.0
100,0.014244147157190634,0.95,0.9856,0.9856,0.7538,1.0,0.7545,1.0
100,0.0145752508361204,0.95,0.9846,0.9846,0.7709,1.0,0.7713,1.0
100,0.014906354515050166,0.95,0.9814,0.9814,0.775,1.0,0.7756,1.0
100,0.015237458193979932,0.95,0.9834,0.9834,0.79,1.0,0.7904,1.0
100,0.015568561872909698,0.95,0.9789,0.9789,0.788,1.0,0.789,1.0
100,0.015899665551839463,0.95,0.9776,0.9776,0.8027,1.0,0.8034,1.0
100,0.01623076923076923,0.95,0.9751,0.9751,0.7994,1.0,0.8004,1.0
100,0.016561872909698995,0.95,0.9727,0.9928,0.8114,1.0,0.8132,1.0
100,0.016892976588628764,0.95,0.9723,0.9936,0.8157,1.0,0.8174,1.0
100,0.01722408026755853,0.95,0.9717,0.9936,0.8232,1.0,0.825,1.0
100,0.017555183946488296,0.95,0.9669,0.9907,0.8304,1.0,0.8325,1.0
100,0.017886287625418062,0.95,0.9655,0.9915,0.8361,1.0,0.838,1.0
100,0.018217391304347828,0.95,0.9629,0.9906,0.8412,1.0,0.8438,1.0
100,0.018548494983277593,0.95,0.9626,0.9881,0.8424,1.0,0.8452,1.0
100,0.01887959866220736,0.95,0.9562,0.9873,0.8501,1.0,0.8529,1.0
100,0.019210702341137125,0.95,0.9546,0.987,0.8539,0.8584,0.8584,1.0
100,0.01954180602006689,0.95,0.9871,0.9871,0.8574,0.8599,0.8599,1.0
100,0.019872909698996657,0.95,0.9847,0.9847,0.851,0.8555,0.8555,1.0
100,0.020204013377926423,0.95,0.9824,0.9824,0.8692,0.8706,0.8706,1.0
100,0.02053511705685619,0.95,0.9836,0.9836,0.8763,0.8773,0.8773,1.0
100,0.020866220735785954,0.95,0.9817,0.9817,0.8763,0.8778,0.8778,1.0
100,0.02119732441471572,0.95,0.9821,0.9821,0.8806,0.8819,0.8819,1.0
100,0.021528428093645486,0.95,0.9774,0.9774,0.8858,0.8873,0.8873,1.0
100,0.021859531772575252,0.95,0.9751,0.9751,0.8847,0.8863,0.8863,1.0
100,0.022190635451505018,0.95,0.9728,0.9728,0.8958,0.8988,0.8988,1.0
100,0.022521739130434783,0.95,0.9754,0.992,0.8981,0.9004,0.9004,1.0
100,0.02285284280936455,0.95,0.973,0.9908,0.8945,0.8961,0.8961,1.0
100,0.023183946488294315,0.95,0.9732,0.9931,0.9024,0.9051,0.9051,1.0
100,0.02351505016722408,0.95,0.9667,0.99,0.9054,0.9077,0.9077,1.0
100,0.023846153846153847,0.95,0.9663,0.9887,0.9038,0.9077,0.9077,1.0
100,0.024177257525083613,0.95,0.9646,0.9903,0.9091,0.9115,0.9115,1.0
100,0.02450836120401338,0.95,0.9634,0.9877,0.9065,0.9102,0.9102,1.0
100,0.024839464882943144,0.95,0.8779,0.985,0.9143,0.9178,0.9178,1.0
100,0.02517056856187291,0.95,0.8834,0.9881,0.9202,0.9235,0.9235,1.0
100,0.025501672240802676,0.95,0.9098,0.9858,0.9197,0.924,0.924,1.0
100,0.025832775919732442,0.95,0.9144,0.9862,0.9241,0.9282,0.9282,1.0
100,0.026163879598662208,0.95,0.9071,0.9821,0.9189,0.925,0.925,1.0
100,0.026494983277591973,0.95,0.9125,0.9808,0.9262,0.9317,0.7469,1.0
100,0.02682608695652174,0.95,0.919,0.9832,0.9303,0.9358,0.7458,1.0
100,0.027157190635451505,0.95,0.9125,0.9784,0.932,0.9341,0.7577,1.0
100,0.02748829431438127,0.95,0.9212,0.9803,0.9394,0.9409,0.7654,1.0
100,0.027819397993311037,0.95,0.9159,0.9763,0.9378,0.9396,0.7686,1.0
100,0.028150501672240803,0.95,0.9204,0.978,0.9408,0.9424,0.7777,1.0
100,0.02848160535117057,0.95,0.9151,0.975,0.9377,0.9401,0.7827,1.0
100,0.028812709030100334,0.95,0.9146,0.9915,0.9356,0.9378,0.7806,1.0
100,0.0291438127090301,0.95,0.9185,0.9911,0.9441,0.9473,0.7975,1.0
100,0.029474916387959866,0.95,0.9197,0.9911,0.943,0.9463,0.7992,1.0
100,0.029806020066889632,0.95,0.9199,0.9899,0.7962,0.9506,0.8,0.9506
100,0.030137123745819398,0.95,0.9232,0.9893,0.8058,0.9545,0.8089,0.9545
100,0.030468227424749163,0.95,0.9214,0.987,0.8167,0.9581,0.8202,0.9581
100,0.03079933110367893,0.95,0.923,0.986,0.8061,0.9571,0.8106,0.9571
100,0.031130434782608695,0.95,0.9251,0.9878,0.8147,0.9589,0.8184,0.9589
100,0.03146153846153846,0.95,0.9242,0.9888,0.8299,0.9601,0.8337,0.9601
100,0.03179264214046822,0.95,0.9228,0.9877,0.8253,0.9615,0.8289,0.9615
100,0.03212374581939799,0.95,0.9499,0.9861,0.8329,0.9638,0.8384,0.9638
100,0.03245484949832776,0.95,0.9499,0.9834,0.8372,0.9665,0.8422,0.9665
100,0.03278595317725753,0.95,0.9475,0.9843,0.8331,0.9632,0.8393,0.9632
100,0.033117056856187294,0.95,0.9496,0.9833,0.8465,0.9663,0.8509,0.9663
100,0.03344816053511706,0.95,0.9455,0.9808,0.8347,0.9647,0.8421,0.9647
100,0.033779264214046825,0.95,0.9494,0.9803,0.8521,0.9691,0.8587,0.9691
100,0.03411036789297659,0.95,0.95,0.9795,0.8589,0.9705,0.86,0.9705
100,0.03444147157190636,0.95,0.9478,0.9786,0.8599,0.9692,0.8629,0.9692
100,0.03477257525083612,0.95,0.9476,0.9754,0.8635,0.9722,0.8662,0.9722
100,0.03510367892976589,0.95,0.9471,0.9755,0.8702,0.9716,0.873,0.9716
100,0.035434782608695654,0.95,0.947,0.9898,0.8705,0.9744,0.8742,0.9744
100,0.03576588628762542,0.95,0.9455,0.9899,0.8742,0.9741,0.8772,0.9741
100,0.036096989966555186,0.95,0.9438,0.9888,0.8799,0.9765,0.8836,0.9765
100,0.03642809364548495,0.95,0.9456,0.9643,0.879,0.9747,0.8828,0.9747
100,0.03675919732441472,0.95,0.9466,0.9643,0.8837,0.9763,0.8879,0.9763
100,0.037090301003344484,0.95,0.9451,0.9645,0.8867,0.9792,0.8913,0.9792
100,0.03742140468227425,0.95,0.942,0.9634,0.8881,0.9765,0.8928,0.9765
100,0.037752508361204015,0.95,0.9404,0.9644,0.8924,0.9771,0.8973,0.9771
100,0.03808361204013378,0.95,0.945,0.9673,0.8919,0.9795,0.896,0.9795
100,0.03841471571906355,0.95,0.9443,0.966,0.8988,0.981,0.9037,0.981
